bookmark_count,conversation_id_str,created_at,display_name,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,like_count,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,views_count
0,1987858751291101438,Mon Nov 10 12:23:53 +0000 2025,,2,Berbagai bentuk ekspresi di Indonesia kerap berujung pada tekanan pelaporan hingga intimidasi. Walhasil masyarakat menjadi semakin berhati-hati untuk bersuara. Freedom House pada tahun 2025 memberikan skor kebebasan demokrasi di Indonesia 56/100 dengan status partly free. https://t.co/voNoK87TyK,1987858751291101438,https://pbs.twimg.com/ext_tw_video_thumb/1987858579844747264/pu/img/4pgaSuBF_s61kICY.jpg,,in,2,,0,0,2,https://x.com/undefined/status/1987858751291101438,541678481,,329
3,1987393932616220931,Sun Nov 09 05:36:52 +0000 2025,,47, Norwegia memuji langkah berani Indonesia untuk mengakui 1 4 juta hektare hutan adat ini adalah langkah maju transformatif untuk tata kelola hutan dan hak-hak adat. Kami sependapat dengan Menteri Raja Juli Antoni bahwa masyarakat adat dan masyarakat lokal adalah penjaga hutan https://t.co/nWB6T3CxBb,1987393932616220931,https://pbs.twimg.com/media/G5SkP96bAAA7uXm.jpg,,in,47,,2,56,2,https://x.com/undefined/status/1987393932616220931,3102442327,,7120
141,1986600836882178067,Fri Nov 07 01:05:23 +0000 2025,,784,Dalam tragedi waluh kukus &amp; kuah pop mie ada satu garis merah yang tabu &amp; tak dibicarakan oleh masyarakat twitter. yaitu kemampuan orangtua mereka dalam menjuahkan diri dari kemiskinan. tentu tak 100% salah ortu mereka. Karna Indonesia terkenal dg kemiskinan strukturalnya,1986600836882178067,,,in,784,,12,10,300,https://x.com/undefined/status/1986600836882178067,1901591046,,36006
0,1987372614382461318,Sun Nov 09 04:12:09 +0000 2025,,19,Apakah Masyarakat Yakin dengan dipilihnya Mereka memegang jabatan di KOMISI REFORMASI POLRI bisa menjalankan tugasnya dengan baik? SEBAB sebagian Masyarakat tau Jejak Digital mereka. SEMOGA https://t.co/NJ2wfQFLwl,1987372614382461318,https://pbs.twimg.com/media/G5SQ21VbgAA2aIQ.jpg,,in,19,,2,14,9,https://x.com/undefined/status/1987372614382461318,1091031753924403200,,743
80,1985166667023007840,Mon Nov 03 02:06:30 +0000 2025,,190,Ketua PMTI Makassar mengatakan ada dua hal dalam materi stand up comedy Pandji yang melukai hati masyarakat Toraja. Salah satunya ialah menilai masyarakat Toraja jatuh miskin karena pesta adat. #pandipragiwaksono #adattoraja #budayatoraja #rambusolo #detikSulsel https://t.co/F0oWUChJ6R,1985166667023007840,https://pbs.twimg.com/ext_tw_video_thumb/1985165267983560704/pu/img/sXbKWRzdhhR_wfTI.jpg,,in,190,,81,100,33,https://x.com/undefined/status/1985166667023007840,1819264967880986624,,169002
0,1987259377297010696,Sat Nov 08 20:42:11 +0000 2025,,5,Apa itu Peks-peks? Istilah ini muncu dari masyarakat Kota Manado kepada para kumpulan anak muda yang berlagak jagoan dengan penampilan menakutkan. Peks merupakan singkatan dari preman kompleks mereka biasa berkelompok dengan penampilan yang terbilang acak-acakan. Akhir-akhir https://t.co/bETz4mzhKR,1987259377297010696,https://pbs.twimg.com/media/G5Qp1xaawAADC3U.jpg,,in,5,,0,5,3,https://x.com/undefined/status/1987259377297010696,175752154,,725
1,1988052300909420861,Tue Nov 11 01:12:59 +0000 2025,,44,met pagi masyarakat‼️ lihat freebies aguuuad gacha lukisan ssr soalnya cm buat 1 takut nggak abis;; sp yg mw tp malu? ayo kita trade #CF21 #CFXXI https://t.co/6ASOYzCIzW,1988052300909420861,https://pbs.twimg.com/media/G5b7BrnbcAAEjLd.jpg,,in,44,,1,19,7,https://x.com/undefined/status/1988052300909420861,1747868946655784960,,863
7,1986255194993365265,Thu Nov 06 02:11:55 +0000 2025,,89,Masyarakat kecil cuma bisa menjadi penonton kereta cepat yang katanya modern itu dan parahnya harus menanggung utangnya hingga 60 tahun. https://t.co/rz9JAVJzca,1986255194993365265,https://pbs.twimg.com/media/G5CYj7HbIAIOEa0.jpg,,in,89,,0,2,51,https://x.com/undefined/status/1986255194993365265,1752301333263392769,,1621
0,1985488042367598901,Mon Nov 03 23:23:32 +0000 2025,,32,Pejabat publik bukanlah jalan untuk mencari kekayaan atau kemewahan melainkan ladang untuk menebar manfaat dan membantu masyarakat. https://t.co/UuSfGdXBOP,1985488042367598901,https://pbs.twimg.com/media/G43e2ARbQAMH9OO.jpg,,in,32,,1,0,9,https://x.com/undefined/status/1985488042367598901,22365191,,1042
21,1984062928862261450,Fri Oct 31 01:00:39 +0000 2025,,245,Islam bukan agama Arab. Mengaitkannya dengan budaya Arab menyempitkan makna. Indonesia bukti Islam bisa hidup tanpa jadi Arab. Bahasa gamis sorban hanyalah budaya bukan inti ajaran. Islam dinilai dari iman dan akhlak bukan tampilan. Islam bukan Arab Arab bukan Islam. https://t.co/ibVdtPu5Mb,1984062928862261450,https://pbs.twimg.com/ext_tw_video_thumb/1984062895823650816/pu/img/SwKiGE2wYOY6Nk-n.jpg,,in,245,,3,12,78,https://x.com/undefined/status/1984062928862261450,795498951336075264,,4843
1,1985159261803188682,Mon Nov 03 01:37:05 +0000 2025,,11,Museum 798 di China menjadikan orang mati menjadi pusat seni budaya yg hidup Di sana ga ada pocong kuntilanak genderuwo dll mungkin ya .... Scary https://t.co/RXcjcltzYc,1985159261803188682,https://pbs.twimg.com/ext_tw_video_thumb/1985159221076520960/pu/img/QRUkIaRHJYLAlMh2.jpg,,in,11,,1,3,6,https://x.com/undefined/status/1985159261803188682,1604408934525464576,,1374
0,1985655763054764041,Tue Nov 04 10:30:00 +0000 2025,,6,Pandji Pragiwaksono akhirnya menyampaikan permintaan maaf terbuka setelah video stand up comedy (SUCI) lamanya yang menyinggung adat dan budaya Tana Toraja kembali viral dan menuai kecaman. Pandji mengatakan jokes yang ia ungkapkan dalam acara stand up comedy itu berlangsung pada https://t.co/FWELg8xUTm,1985655763054764041,https://pbs.twimg.com/media/G45txgTa0AAFdKK.jpg,,in,6,,0,2,2,https://x.com/undefined/status/1985655763054764041,231355136,,7345
2,1985665134854095144,Tue Nov 04 11:07:14 +0000 2025,,14,Ada dua hal dlm materi stand up comedy Pandji yg melukai hati masyarakat Toraja. Pertama pernyataannya bahwa byk warga Toraja jatuh miskin krn pesta adat. Kedua anggapan bahwa jenazah disimpan di ruang tamu. Adat budaya kok dijadikan candaan ---- Senin Edinburgh Purbaya https://t.co/rElcRlbQQr,1985665134854095144,https://pbs.twimg.com/ext_tw_video_thumb/1985665085604577281/pu/img/8kmhGXzzzgK_2mVE.jpg,,in,14,,0,5,6,https://x.com/undefined/status/1985665134854095144,1259753320152887296,,5222
0,1985580242606682573,Tue Nov 04 05:29:54 +0000 2025,,7,Kita tak pernah jemput mereka! Malah kita jaga dan pelihara mereka! Apa yang kita mahu ialah mereka menghormati Ugama Adat dan Budaya Melayu. Jika mereka gagal asimilasi ke Bangsa Malaysia maka meraka tidak layak jadi warganegara Malaysia. https://t.co/BrAd1YZlBP,1985580242606682573,https://pbs.twimg.com/amplify_video_thumb/1985579618867503104/img/8AB-NAyzR5QjsOki.jpg,,in,7,,1,2,3,https://x.com/undefined/status/1985580242606682573,331560702,,4165
2,1984722885345493143,Sat Nov 01 20:43:04 +0000 2025,,7,Masyarakat Toraja menuntut permintaan maaf secara terbuka di media terkait konten si @pandji . Kalau berani datang ke Toraja studi lapangan dulu jangan omong doang demi rupiah di panggung stand up comedy. Pahami adat dan budaya orang Toraja sebelum dijadikan konten. https://t.co/Bs9iNejwEu,1984722885345493143,https://pbs.twimg.com/ext_tw_video_thumb/1984722464539361285/pu/img/w370THg-pYZ8aCaX.jpg,,in,7,,1,8,0,https://x.com/undefined/status/1984722885345493143,1277133626,,3256
3,1985739061320192043,Tue Nov 04 16:01:00 +0000 2025,,12,Perubahan mendasar dr makam raja Mataram sebelum n sejak Sultan Agung: dari di bawah/ledok di belakang masjid (di Kotagede) menjadi di bukit/tinggi di atas masjid. Artinya: kembali ke budaya leluhur sejak zaman Majapahit atau lebih lama yg memuliakan gunung/tempat tinggi. https://t.co/jt6uwrxRbN,1985739061320192043,https://pbs.twimg.com/media/G47DE4haUAAz7jn.jpg,,in,12,,0,1,1,https://x.com/undefined/status/1985739061320192043,46614875,,929
1,1985566465064648757,Tue Nov 04 04:35:09 +0000 2025,,11,Belanjawan 2026: Tahun Melawat Malaysia 2026 Malaysia akan menyambut kunjungan dunia pada tahun 2026 bagi menghayati keindahan alam yang mempesona menyelami kerencaman budaya yang tiada tara merasai aneka juadah memikat selera sambil disantuni layanan mesra rakyat Malaysia. https://t.co/9X7XVwd4M7,1985566465064648757,https://pbs.twimg.com/media/G44mLHpbQAcagE0.jpg,,in,11,,0,1,8,https://x.com/undefined/status/1985566465064648757,123757624,,527
0,1986092689058935211,Wed Nov 05 15:26:11 +0000 2025,,2,Prosesi pemakaman PB XIII di Imogiri Bantul Yogyakarta. Syahadat Kures adalah tradisi Jawa berupa syair atau lagu yang mengajak orang untuk mengucapkan dua kalimat syahadat Tradisi ini merupakan bagian dari budaya di Keraton Surakarta yang diperkenalkan oleh Sultan Agung https://t.co/mpKbSLODUv,1986092689058935211,https://pbs.twimg.com/ext_tw_video_thumb/1986092600374575104/pu/img/v4cVtsaGYToCKen6.jpg,,in,2,,0,1,1,https://x.com/undefined/status/1986092689058935211,1603594126884474881,,366
8,1987892473717502467,Mon Nov 10 14:37:53 +0000 2025,,120,Sejumlah aktivis menggelar aksi unjuk rasa di depan Gedung Kementerian Budaya Senin (10/11). Massa menyuarakan penolakan terhadap pemberian gelar pahlwan nasional kepada Presiden ke-2 RI Soeharto. #CNNIndonesia https://t.co/cO17n1QARR,1987892473717502467,https://pbs.twimg.com/media/G5Zpl3mboAA4Z7L.jpg,,in,120,,6,16,49,https://x.com/undefined/status/1987892473717502467,17128975,,7931
0,1986697190535028818,Fri Nov 07 07:28:15 +0000 2025,,4,elamat Hari Wayang Nasional 7 November 2025 ini mari kita rayakan warisan adi luhung bangsa -wayang mahakarya budaya yang diakui dunia sebagai warisan tak benda oleh UNESCO. Mari terus lestarikan nilai-nilai luhur filosofi dan seni pewayangan agar tetap hidup! https://t.co/LU9fPRs6B1,1986697190535028818,https://pbs.twimg.com/media/G5IqjoMawAA8TxR.jpg,,in,4,,0,0,1,https://x.com/undefined/status/1986697190535028818,737851888096313344,,67
30,1986470997504237673,Thu Nov 06 16:29:27 +0000 2025,,607,Budaya ga enakan itu akal-akalan penguasa. Kurang2in deh. Know your value and your life will be much better.,1986470997504237673,,,in,607,,1,2,217,https://x.com/undefined/status/1986470997504237673,4312640954,,13493
0,1986342779077992684,Thu Nov 06 07:59:57 +0000 2025,,2,Indonesia bukan cuma indah tetapi hidup selaras. Dari hutan tropis yang bernafas hingga budaya yang menari di setiap langkah. Tapi siapa yang menjaga semua ini tetap lestari? Mari kita renungkan bersama #COP30 #TheAnswerisUs #BersamaBergerakBerdaya https://t.co/sH5rM1OWkm,1986342779077992684,https://pbs.twimg.com/media/G5DoOyUbkAA9qMR.jpg,,in,2,,0,1,2,https://x.com/undefined/status/1986342779077992684,1291872962467885063,,46
0,1985147900217995575,Mon Nov 03 00:51:56 +0000 2025,,4,Perpaduan kaum di Malaysia adalah satu Aset strategik dlm membina masadepannya yg lebih maju dan makmur! Melaka menjadi rujukan dunia dari segi perpaduan kaum dimana lebih 700 tahun dulu semasa era Kesultanan Melaka perpaduan kaum telah menjafi satu BUDAYA yg kekal hgg skrg !! https://t.co/sFZaVvDjO5,1985147900217995575,https://pbs.twimg.com/ext_tw_video_thumb/1985147860334301184/pu/img/jdW0n_Yv5vKRiv7O.jpg,,in,4,,0,0,1,https://x.com/undefined/status/1985147900217995575,466122829,,153
0,1985610452513276009,Tue Nov 04 07:29:57 +0000 2025,,6,[ECUTION 2025] Salam Budaya! Hai #FIBers Open ticketing ECUTION 2025 resmi dibuka! Sebuah pertunjukan teater oleh mahasiswa Sastra Inggris yang akan digelar pada 30 November 2025 di Auditorium Universitas Brawijaya. Tiket tersedia dalam kategori Silver (Rp15.000) https://t.co/7irT5ujUSF,1985610452513276009,https://pbs.twimg.com/media/G45OLpMbYAAgFtQ.jpg,,in,6,,0,1,1,https://x.com/undefined/status/1985610452513276009,820994071,,125
0,1987793497450234099,Mon Nov 10 08:04:35 +0000 2025,,3,Di masa penuh ketidakpastian hadir sosok yang menata arah negeri ini dengan visi dan kerja nyata. Ia bukan sekadar pemimpin tapi Putra Terbaik Bangsa yang menanamkan disiplin kerja keras dan kemandirian sebagai budaya pembangunan. https://t.co/FX7oi08a4j,1987793497450234099,https://pbs.twimg.com/ext_tw_video_thumb/1987793428021977088/pu/img/rhUFGBshMlSad8In.jpg,,in,3,,0,2,2,https://x.com/undefined/status/1987793497450234099,1356029563,,995
0,1984648062602788895,Sat Nov 01 15:45:45 +0000 2025,,7,Surprise mf 31st October 2025 Halloween FIB UI by Pekan Budaya Jawa https://t.co/V08JmY3wek,1984648062602788895,https://pbs.twimg.com/media/G4ri5D9bQAAHCke.jpg,,in,7,,0,1,0,https://x.com/undefined/status/1984648062602788895,1544143907659075584,,521
1,1986347235307626998,Thu Nov 06 08:17:40 +0000 2025,,8,Sedih Jokowi Diperlakukan tidak Pantas Prabowo: Enggak Ada itu Prabowo Dikendalikan oleh Jokowi Saya lihat kok ada mulai budaya yang tidak baik pemimpin diapa ya dikuyo-kuyo dicari-cari. Pada saat berkuasa disanjung-sanjung ini budaya apa? Ini harus kita ubah ujar https://t.co/7NHw2GlHCi,1986347235307626998,https://pbs.twimg.com/amplify_video_thumb/1986346733253853184/img/ye2HJAfUoRmzl4pW.jpg,,in,8,,0,14,3,https://x.com/undefined/status/1986347235307626998,68930552,,2113
0,1985619816259219651,Tue Nov 04 08:07:09 +0000 2025,,3,Sinergi API dan APR Pada Riau Berkain 2025 Menjaga Marwah Budaya Melayu Lewat Wastra @sahabatrapp @asiapacificrayon #LifeatApril #RAPP #RiauBerkain2025 https://t.co/tC4sLQ2NCX,1985619816259219651,,,in,3,,0,0,3,https://x.com/undefined/status/1985619816259219651,788744100,,101
1,1985965074440471025,Wed Nov 05 06:59:05 +0000 2025,,7,Sang Raja Pulang ke Imogiri. Takhta yang Menyatu dengan Tanah Doa dan Kenangan. ​Karena kabar dari Surakarta kali ini bukan kabar biasa. Bukan tentang pesta budaya tapi tentang sunyinya sebuah takhta yang kini kehilangan penghuninya. Sri Susuhunan Pakubuwono XIII Sang https://t.co/3srLcG5m8G,1985965074440471025,https://pbs.twimg.com/ext_tw_video_thumb/1985964927828574213/pu/img/gWYG-fwQYNNUxl3e.jpg,,in,7,,0,0,2,https://x.com/undefined/status/1985965074440471025,1719346529549639680,,820
3,1986654254422237374,Fri Nov 07 04:37:39 +0000 2025,,7,Selamat ulang tahun Bapak Menteri Desa! Semoga selalu sukses dan bahagia. Dari Kalteng tanah yang kaya akan sumber daya alam dan budaya. #SelamatUlangTahunPakMendes #SelamatUlangTahunPakYandriSusanto #HBDPakMendes @prabowo @YandriSusanto @ArizaPatria @taufikmadjid71 https://t.co/0M5UlDigTs,1986654254422237374,https://pbs.twimg.com/media/G5IDgqgbIAE9Z8R.jpg,,in,7,,0,0,5,https://x.com/undefined/status/1986654254422237374,3649867273,,1720
20,1985926993947578370,Wed Nov 05 04:27:46 +0000 2025,,277,Untuk pertama kalinya dalam sejarah Bahasa Indonesia digunakan sebagai bahasa kerja di Sidang Umum UNESCO ke-43 di Samarkand Uzbekistan. Momen ini menjadi tonggak penting dalam diplomasi budaya Indonesia menegaskan pengakuan dunia atas peran strategis bahasa Indonesia https://t.co/ubnwqxYlzF,1985926993947578370,https://pbs.twimg.com/amplify_video_thumb/1985926893972168704/img/7_YclShiCz78H_CC.jpg,,in,277,,2,5,79,https://x.com/undefined/status/1985926993947578370,39677695,,25883
1,1985271037458805084,Mon Nov 03 09:01:14 +0000 2025,,11,Tahun Melawat Malaysia 2026 Malaysia akan menyambut kunjungan dunia pada tahun 2026 bagi menghayati keindahan alam yang mempesona menyelami kerencaman budaya yang tiada tara merasai aneka juadah memikat selera sambil disantuni layanan mesra rakyat Malaysia. https://t.co/ghFWIerBtd,1985271037458805084,https://pbs.twimg.com/media/G40ZWmubsAA16He.jpg,,in,11,,1,1,8,https://x.com/undefined/status/1985271037458805084,123757624,,1256
0,1988108292758114347,Tue Nov 11 04:55:28 +0000 2025,,2,Ramai lagi ke Professor sebegini di Malaysia? Sesungguhnya perkongsian ilmu adalah budaya para cendekiawan yg perlu dipertahankan. Bukan bermegah kononnya pertahan kebenaran namun berahsia pula ketika minta dibuktikan. https://t.co/ktr5cO8OCy,1988108292758114347,https://pbs.twimg.com/amplify_video_thumb/1988090802938195968/img/jDjuVvr5HTaV4ku4.jpg,,in,2,,0,0,1,https://x.com/undefined/status/1988108292758114347,1786217569164337152,,41
0,1985314880812175716,Mon Nov 03 11:55:27 +0000 2025,,2,Pesantren bukan sekadar tempat belajar. Ia adalah rumah bagi semua yang datang dengan niat mencari ilmu dan ridha Allah. Di pesantren tak ada yang merasa sendiri. Santri dari berbagai daerah budaya dan latar belakang yang berbeda. Seperti rumah pesantren adalah tempat pulang. https://t.co/7v97upii6R,1985314880812175716,https://pbs.twimg.com/amplify_video_thumb/1985314753682812928/img/cucWf_6Xl1vbZaG-.jpg,,in,2,,0,0,2,https://x.com/undefined/status/1985314880812175716,801360165400363008,,211
0,1985929269403627836,Wed Nov 05 04:36:49 +0000 2025,,59,Saya sangat mengagumi adat dan budaya Toraja. Suatu hari saya ingin melihat langsung keunikan dan keindahan budaya tersebut. Saya merasa kesal dan kecewa ketika melihat ada orang yang menjadikan adat atau budaya daerah lain sebagai bahan candaan karena itu bukan hal yang lucu ,1985929269403627836,,,in,59,,0,26,1,https://x.com/undefined/status/1985929269403627836,816247050245263360,,881
1,1984924427373662635,Sun Nov 02 10:03:56 +0000 2025,,11,Turut berduka cita atas berpulangnya Sri Susuhunan Pakubuwana XIII Raja Keraton Surakarta. Beliau dikenal sebagai pelestari budaya Jawa dan panutan masyarakat Surakarta. Semoga amal dan jasanya menjadi penerang di keabadian ️ #rip https://t.co/EWO4j3RAky,1984924427373662635,https://pbs.twimg.com/media/G4vePppaUAA5a3r.jpg,,in,11,,0,1,1,https://x.com/undefined/status/1984924427373662635,410533195,,386
0,1985677632814621110,Tue Nov 04 11:56:54 +0000 2025,,3,Gubernur Rudy Mas ud Dorong Gerakan Literasi Jadi Budaya Masyarakat Kaltim https://t.co/T7qs9ombR8 #61TahunGolkar #partaigolkar #bahlillahadalia #golkarpedia #RudyMas ud https://t.co/7jT7UFsp8Z,1985677632814621110,https://pbs.twimg.com/media/G46LSJ7a8AA7HgV.jpg,,in,3,,0,0,4,https://x.com/undefined/status/1985677632814621110,1576559606083424256,,52
69,1987546331355992130,Sun Nov 09 15:42:26 +0000 2025,,3391,budaya bahasa berputar abadi jangan coba atur tutur kata army,1987546331355992130,,,in,3391,,102,80,711,https://x.com/undefined/status/1987546331355992130,2413636441,,70690
7,1987714370298642488,Mon Nov 10 10:42:44 +0000 2025,,263,@tanyarlfes Setujuuu! MasyaAllah uang fisik Maldives itu bagus bgttt. Dari material alias bahannya gak gampang sobek. Warnanya juga cerah dan beda-beda eye-catching. Desainnya juga budaya mereka banget jadi tambah cantikkkk https://t.co/ZSgPH6V6Yh,1987833296756363355,https://pbs.twimg.com/media/G5Yz2UMbkAA9YVO.jpg,tanyarlfes,in,263,,0,0,18,https://x.com/undefined/status/1987833296756363355,399902816,,8324
0,1987105905008386065,Sat Nov 08 10:32:21 +0000 2025,,10,Open Jasa Joki Tugas Puisi Ketik Geografi Pidato Cerpen CV PJOK Pantun Essay Essai Ospek Studi Kasus Tulis Parafrase MindMap Translate Laporan Matematika Sosiologi PKN Pancasila Bahasa Sunda Review Jurnal SBK Seni Budaya Studi Kasus #jokitugas https://t.co/AWLyTUWWaC,1987105905008386065,https://pbs.twimg.com/media/G5OeSjDbgAAJGyy.jpg,,in,10,,0,0,3,https://x.com/undefined/status/1987105905008386065,1427851863198605318,,305
0,1985598290407440818,Tue Nov 04 06:41:37 +0000 2025,,3,Sorakan kayuhan dan warna-warni budaya menghidupkan Kuching Waterfront sepanjang Sarawak Regatta 2025! Acara tahunan penuh tradisi ini menyatukan peserta dan pengunjung dari seluruh pelusuk dunia dalam semangat sukan budaya dan kebersamaan. Terus semarakkan semangat yang ada! https://t.co/MdtBSme0sb,1985598290407440818,https://pbs.twimg.com/media/G45DE9ObwAA4zsY.jpg,,in,3,,0,1,0,https://x.com/undefined/status/1985598290407440818,3113778663,,367
1,1987203466352357588,Sat Nov 08 17:00:01 +0000 2025,,8,Kuala Lampur Malaysia. The Little Ob. Di mana budaya bertemu dengan kod The Little OB menerangi langit satu piksel pada satu masa. @OnchainBrett @saibereth https://t.co/DwyBHM2rOT,1987203466352357588,https://pbs.twimg.com/media/G40S-pkWMAAdcLi.jpg,,in,8,,0,2,4,https://x.com/undefined/status/1987203466352357588,1111092446170148865,,216
3,1984608802449342917,Sat Nov 01 13:09:45 +0000 2025,,24,Book Review: Kekerasan Budaya Pasca 1965 by Wijaya Herlambang ______________ https://t.co/NZJzBr7JC3,1984608802449342917,https://pbs.twimg.com/media/G4q-_PebQAEC89t.jpg,,in,24,,0,2,7,https://x.com/undefined/status/1984608802449342917,1594252041769037824,,1950
0,1985690371981254866,Tue Nov 04 12:47:31 +0000 2025,,2,Ragam budaya ragam tradisi. Ada kearifan lokal yg bagi sebagian orang dirasa aneh &amp; tak lazim tapi itulah kekayaan bangsa ini. Hargai itu semua tanpa harus dikomentari aneh2 apalagi jadi bahan stand up comedy Jangan angkat bahan yg bisa menyinggung perasaan sesama anak bangsa! https://t.co/pLH8MKf4eg,1985690371981254866,https://pbs.twimg.com/ext_tw_video_thumb/1985689468150657024/pu/img/MJlyBUZax4M1s7Wr.jpg,,in,2,,0,0,1,https://x.com/undefined/status/1985690371981254866,1370742494778912776,,86
0,1987723412643684651,Mon Nov 10 03:26:06 +0000 2025,,2,Di World Peace Forum Fadli Zon Sampaikan Budaya Bukan Sekedar Warisan Tapi Pilar Peradaban https://t.co/d1r2azLofx,1987723412643684651,,,in,2,,0,0,1,https://x.com/undefined/status/1987723412643684651,65991060,,169
6,1985214105008140768,Mon Nov 03 05:15:00 +0000 2025,,22,Panji menghina dan melecehkan Budaya dan adat istiadat Toraja ‼️ https://t.co/8HP4pXc6hT,1985214105008140768,https://pbs.twimg.com/ext_tw_video_thumb/1985213988762988544/pu/img/P5T7Q0EHPK0WodA6.jpg,,in,22,,3,5,6,https://x.com/undefined/status/1985214105008140768,1628295604316282880,,8798
0,1984578432509030744,Sat Nov 01 11:09:04 +0000 2025,,2,DJKN Berkarakter Kelola Aset Negara Kawal Asta Cita Dalam upaya mewujudkan tata kelola kekayaan negara yang profesional transparan dan berintegritas DJKN terus berkomitmen memperkuat karakter dan budaya kerja seluruh jajarannya. Karakter pegawai DJKN yang berintegritas https://t.co/GkQIopMbyw,1984578432509030744,https://pbs.twimg.com/ext_tw_video_thumb/1984578248265908225/pu/img/V_nGR_hDYvqAQ7Bx.jpg,,in,2,,0,3,3,https://x.com/undefined/status/1984578432509030744,82549460,,131
0,1984415078129811526,Sat Nov 01 00:19:57 +0000 2025,,18,Persinas ASAD Bontang Meriahkan Karnaval Kota dan Pawai Budaya. Koordinator Persinas ASAD Asnan mengapresiasi terhadap penyelenggaraan karnaval dalam rangka HUT ke-25 Kota Bontang. Saya sangat mengapresiasi kegiatan ini. Selain menjadi hiburan masyarakat karnaval juga,1984415078129811526,,,in,18,,0,1,0,https://x.com/undefined/status/1984415078129811526,109599242,,229
0,1987118599501443540,Sat Nov 08 11:22:47 +0000 2025,,10,Open Jasa Joki Tugas Pidato Ospek Studi Kasus Tulis Parafrase MindMap Cerpen CV PJOK Pantun Essay Essai Puisi Ketik Geografi Translate Laporan Matematika Sosiologi PKN Pancasila Bahasa Sunda Review Jurnal SBK Seni Budaya Studi Kasus #jokitugas https://t.co/qy0vc08kxT,1987118599501443540,https://pbs.twimg.com/media/G5Op1OubQAAXZIa.jpg,,in,10,,0,0,3,https://x.com/undefined/status/1987118599501443540,1427851863198605318,,371
53,1987015860968693852,Sat Nov 08 04:34:32 +0000 2025,,292,Buat yang biasa lewat Suhat bakal ada rekayasa lalin mulai tanggal 10 November nanti Senin Kamis 22.00 05.00 WIB Arus lalu lintas Jl. Soekarno Hatta sisi barat diberlakukan dua arah (contra flow) mulai dari u-turn M-Trans sampai u-turn Taman Krida Budaya Jawa Timur https://t.co/BZnILGxB1d,1987015860968693852,https://pbs.twimg.com/media/G5NMIwCbMAAlW_z.jpg,,in,292,,55,27,57,https://x.com/undefined/status/1987015860968693852,107412668,,29124
0,1987080942431752685,Sat Nov 08 08:53:09 +0000 2025,,10,Open Jasa Joki Tugas Tulis Cerpen TIK Kewirausahaan CV Analisis Film PJOK Pantun Essay Essai Beasiswa Ospek Laporan PKN Pancasila Review Jurnal SBK Seni Budaya Puisi Ketik Daftar Isi Nomor Halaman Mendeley Bahasa Sunda Studi Kasus Parafrase PPT CV https://t.co/Oclfcdurmr,1987080942431752685,https://pbs.twimg.com/media/G5OHlgGbIAIOJoe.jpg,,in,10,,0,0,3,https://x.com/undefined/status/1987080942431752685,1427851863198605318,,401
0,1987793100970856615,Mon Nov 10 08:03:01 +0000 2025,,2,Turkiye peringati 87 tahun wafatnya pendiri Republik Mustafa Kemal Ataturk https://t.co/fKYcEQ1nkk https://t.co/6xQdMJe0JJ,1987793100970856615,https://pbs.twimg.com/media/G5YPSqUXoAAV3kr.jpg,,in,2,,0,0,1,https://x.com/undefined/status/1987793100970856615,894492750070022144,,58
0,1987636022973436010,Sun Nov 09 21:38:51 +0000 2025,,2,Prabowo Ingin Karang Taruna dan Pramuka Aktif Kembali Bangun Kepedulian Sosial Jakarta Presiden RI Prabowo Subianto menekankan pentingnya membangkitkan kembali budaya kepedulian sosial di masyarakat melalui pengaktifan peran Karang Taruna Pramuka serta komunitas pendidikan https://t.co/MgAhg4U2jH,1987636022973436010,https://pbs.twimg.com/amplify_video_thumb/1987635588884000768/img/BJ5w1b2z2AyFra7d.jpg,,in,2,,1,1,1,https://x.com/undefined/status/1987636022973436010,121640063,,1268
0,1987822762568933714,Mon Nov 10 10:00:53 +0000 2025,,19,Menbud Fadli Zon Tekankan Pentingnya Budaya Sensor Mandiri Penonton Film untuk Jaga Nilai Luhur https://t.co/Ml77rrJdGx,1987822762568933714,,,in,19,,0,0,7,https://x.com/undefined/status/1987822762568933714,79139422,,395
1,1986983184521912447,Sat Nov 08 02:24:42 +0000 2025,,4,Info gig : Symphonesia Viral w/ Erwin Gutawa Orchestra feat. Barasuara Rahmania Astrini Barsena Bestandhi Adrian Khalif. 9 Desember 2025 19.30 Graha Bhakti Budaya Taman Ismail Marzuki. See you! https://t.co/laiStlsSu2,1986983184521912447,https://pbs.twimg.com/media/G5MurTPa0AEWeNc.jpg,,in,4,,1,2,1,https://x.com/undefined/status/1986983184521912447,48643087,,512
0,1985874091996487897,Wed Nov 05 00:57:33 +0000 2025,,19,Meriah dan bermakna! Festival Tradisional &amp; Pentas Seni Budaya Port Numbay oleh DPC BMP Kota Jayapura menghadirkan semangat kebersamaan dan kepedulian lewat seni dan bakti sosial untuk rakyat Papua. 🇮🇩 #BarisanMerahPutih #BudayaPortNumbay #Jayapura #Papua #PrabowoSubianto https://t.co/ohioJodnNZ,1985874091996487897,https://pbs.twimg.com/media/G4898pFaYAA_P9C.jpg,,in,19,,0,0,0,https://x.com/undefined/status/1985874091996487897,1634416879799525376,,108
